col0,col1,col2
Government of Sikkim,Sikkim Legislative Assembly,Sikkim
Government of Uttar Pradesh,Uttar Pradesh Legislature,Uttar Pradesh
Government of Tamil Nadu,Council of Ministers of Tamil Nadu,Tamil Nadu
Government of Chicago,Mayor of Chicago,Chicago
Government of Maharashtra,Maharashtra Legislature,Maharashtra
Government of Karnataka,Karnataka Legislature,Karnataka
Government of Haryana,Haryana Legislative Assembly,Haryana
Government of Andhra Pradesh,Andhra Pradesh Legislature,Andhra Pradesh
Federal Government of Somalia,Cabinet of Somalia,Somalia
Government of Vietnam,Ministry of Planning and Investment,Vietnam
Government of Pakistan,Federal Cabinet of Pakistan,Pakistan
Government of Colombia,Executive Branch of Colombia,Colombia
Government of Italy,Council of Ministers,Italy
Government of New Mexico,Courts of New Mexico,New Mexico
Government of Sri Lanka,Cabinet of Sri Lanka,Sri Lanka
