col0,col1,col2,col3,col4
2014 AF Suzuki Cup,2014/01/01,ASEAN Football Federation,Mohd Safiq Rahim,Vietnam
2013 AFF Championship,2013/01/01,South Asian Football Federation,Ali Ashfaq,Nepal
1980 AFC Asan Cup,1980/01/01,Asian Football Confederation,Behtash Fariba,Kuwait
2000 FIFA Futsal World Championshp,2000/01/01,FIFA,Manoel Tobias,Guatemala
2007 Caribbean Eup,2007/01/01,Caribbean Football Union,Nigel Codrington,Trinidad and Tobago
2011 HIFA U-20 World up,2011/01/01,FIFA,Henrique Almeida Caixeta Nascentes,Colombia
1925 South American Champlonship,1925/01/01,CONMEBOL,Manuel Seoane,Argentina
1941 Souh American Championship,1941/01/01,CONMEBOL,Juan Marvezy,Chile
2011 FIBA Under-19 World Championship forWomhn,2011/01/01,FIBA,Damiris Dantas,Chile
2004!CONMEBOL Pre-Olympic Tournament,2004/01/01,CONMEBOL,Sergio Herrera,Chile
2009!South American Under-17 Football Championship,2009/01/01,CONMEBOL,Edwin Cardona,Chile
2010 African Xomen's Championship,2010/01/01,Confederation of African Football,Perpetua Nkwocha,South Africa
