col0,col1,col2,col3,col4,col5,col6,col7
Comarcal Council of Berguedà,comarcal council of Catalonia,Spain,comarcal councillor of Berguedà,1988-03-09,Berguedà,president of Comarcal Council of Berguedà,Berga
Comarcal Council of Pallars Jussà,comarcal council of Catalonia,Spain,comarcal councillor of Pallars Jussà,1988-03-09,Pallars Jussà,president of Comarcal Council of Pallars Jussà,Tremp
Comarcal Council of Terra Alta,comarcal council of Catalonia,Spain,comarcal councillor of Terra Alta,1988-03-09,Terra Alta,president of Comarcal Council of Terra Alta,Gandesa
Comarcal Council of Garraf,comarcal council of Catalonia,Spain,comarcal councillor of Garraf,1988-03-09,Garraf,president of Comarcal Council of Garraf,Vilanova i la Geltrú
Comarcal Council of Baix Llobregat,comarcal council of Catalonia,Spain,comarcal councillor of Baix Llobregat,1988-03-09,Baix Llobregat,president of Comarcal Council of Baix Llobregat,Sant Feliu de Llobregat
Comarcal Council of Noguera,comarcal council of Catalonia,Spain,comarcal councillor of Noguera,1988-03-09,Noguera,president of Comarcal Council of Noguera,Balaguer
Comarcal Council of Tarragonès,comarcal council of Catalonia,Spain,comarcal councillor of Tarragonès,1988-03-09,Tarragonès,president of Comarcal Council of Tarragonès,Tarragona
Comarcal Council of Bages,comarcal council of Catalonia,Spain,comarcal councillor of Bages,1988-03-09,Bages,president of Comarcal Council of Bages,Manresa
Comarcal Council of Alt Camp,comarcal council of Catalonia,Spain,comarcal councillor of Alt Camp,1988-03-09,Alt Camp,president of Comarcal Council of Alt Camp,Valls
Comarcal Council of Alt Urgell,comarcal council of Catalonia,Spain,comarcal councillor of Alt Urgell,1988-03-09,Alt Urgell,president of Comarcal Council of Alt Urgell,La Seu d'Urgell
Comarcal Council of Conca de Barberà,comarcal council of Catalonia,Spain,comarcal councillor of Conca de Barberà,1988-03-09,Conca de Barberà,president of Comarcal Council of Conca de Barberà,Montblanc
