col0,col1,col2,col3
DoubleTree by Hilton Hotel Leeds City Centre,14,Granary Wharf,2007-01-01
Westward Ho,16,Phoenix,1928-01-01
DoubleTree by Hilton Moscow - Vnukovo Airport,11,Vnukovo District,2018-06-01
Globe Tower,11,Coney Island,1906-05-26
Hilton Kuching,13,Kuching,1988-01-01
Phoenicia InterContinental Hotel,23,Beirut,1961-01-01
Brown's Hotel,5,Mayfair,1837-01-01
Langham Hotel,6,Marylebone,1865-01-01
Fingal,5,Edinburgh,2019-01-01
DoubleTree by Hilton Madrid - Prado,5,Madrid,1992-01-01
Hampton by Hilton Nuremberg City Centre,5,Nuremberg,2014-01-01
