col0,col1,col2,col3,col4
Memory Card-Jack & Jones 2000,road bicycle racing,cycling team season,Tinkoff,Torben Kølbæk
Home-Jack & Jones 1999,road bicycle racing,cycling team season,Tinkoff,Torben Kølbæk
Home-Jack & Jones 1998,road bicycle racing,cycling team season,Tinkoff,Torben Kølbæk
Home-Jack & Jones 1999,road bicycle racing,UCI Trade Team II,Tinkoff,Torben Kølbæk
Home-Jack & Jones 1998,road bicycle racing,UCI Trade Team II,Tinkoff,Torben Kølbæk
Memory Card-Jack & Jones 2000,road bicycle racing,UCI Trade Team I,Tinkoff,Torben Kølbæk
UAE Team Emirates 2017,road bicycle racing,UCI WorldTeam,UAE Team Emirates,Carlo Saronni
Interpro Academy 2017,road bicycle racing,UCI Continental Team,Interpro Stradalli,Stephan Forest
Dimension Data-Qhubeka 2017,road bicycle racing,UCI Continental Team,NTT Continental Cycling Team,Carol Austin
Kuwait-Cartucho.es 2017,road bicycle racing,UCI Continental Team,Kuwait-Cartucho.es,Othman Almutairi
Team Wiggins 2017,road bicycle racing,UCI Continental Team,Wiggins,Andrew McQuaid
SEG Racing Academy 2017,road bicycle racing,UCI Continental Team,SEG Racing Academy,Bart van Haaren
Lotto-Kern-Haus 2017,road bicycle racing,UCI Continental Team,Lotto-Kern-Haus,Florian Monreal
