col0,col1,col2,col3,col4,col5,col6
Castle House School,Newport,United Kingdom,1944-01-01,Newport,preparatory school,Newport
Holy Cross Preparatory School,Kingston upon Thames,United Kingdom,1931-01-01,Kingston upon Thames,preparatory school,Kingston upon Thames
Edge Grove School,Aldenham,United Kingdom,1935-01-01,Aldenham,preparatory school,Aldenham
Eagle House School,Sandhurst,United Kingdom,1820-01-01,Sandhurst,preparatory school,Sandhurst
Brambletye School,East Grinstead,United Kingdom,1919-01-01,East Grinstead,preparatory school,East Grinstead
Winchester House School,Brackley,United Kingdom,1875-01-01,Brackley,independent school,Brackley
Castle House School,Newport,United Kingdom,1944-01-01,Newport,independent school,Newport
Holy Cross Preparatory School,Kingston upon Thames,United Kingdom,1931-01-01,Kingston upon Thames,independent school,Kingston upon Thames
Edge Grove School,Aldenham,United Kingdom,1935-01-01,Aldenham,independent school,Aldenham
Eagle House School,Sandhurst,United Kingdom,1820-01-01,Sandhurst,independent school,Sandhurst
Brambletye School,East Grinstead,United Kingdom,1919-01-01,East Grinstead,independent school,East Grinstead
