col0,col1,col2,col3
Ministry of Economic Affairs and Climate Policy,1905-08-17,Netherlands,The Hague
Federal Institute for Risk Assessment,2002-01-01,Germany,Max-Dohrn-Straße
New South Wales Food Authority,2004-01-01,Australia,Newington
Conference for Food Protection,1971-01-01,United States of America,Martinsville
Food and Drug Administration,1906-01-01,United States of America,White Oak
Canadian Food Inspection Agency,1997-01-01,Canada,Dartmouth
"General Administration of Quality Supervision, Inspection and Quarantine",2001-04-01,People's Republic of China,Haidian District
"Agence nationale de sécurité sanitaire de l'alimentation, de l'environnement et du travail",2010-07-01,France,Maisons-Alfort
Nuclear Institute for Agriculture and Biology,1972-01-01,Pakistan,Faisalabad
Ministry of Food and Drug Safety,2013-03-23,South Korea,Cheongju
Food and Drug Administration,1995-01-01,Myanmar,Naypyidaw
