col0,col1,col2,col3,col4,col5
MTN-Qhubeka 2013,MTN Qhubeka 2012,MTN Qhubeka in der,MTN-Qhubeka 2014,2013-01-01,cycle sport
ONE 2016,ONE 2015,ONE,ONE 2017,2016-01-01,road bicycle racing
Funvic Soul Cycles-Carrefour 2016,Funvic-São José dos Campos 2015,Funvic Soul Cycles-Carrefour,Soul Brasil 2017,2016-01-01,road bicycle racing
UnitedHealthcare 2015,UnitedHealthcare 2014,UnitedHealthcare,UnitedHealthcare 2016,2015-01-01,road bicycle racing
Southeast 2015,2014 Neri Sottoli,Southeast,2016 Wilier Triestina-Southeast,2015-01-01,road bicycle racing
Drapac 2015,2014 Drapac Cycling season,Drapac,Drapac 2016,2015-01-01,road bicycle racing
MTN-Qhubeka 2015,MTN-Qhubeka 2014,MTN-Qhubeka,Dimension Data 2016,2015-01-01,road bicycle racing
Novo Nordisk 2014,Novo Nordisk 2013,Novo Nordisk,Novo Nordisk 2015,2014-01-01,road bicycle racing
2014 Androni Giocattoli-Venezuela season,Androni Giocattoli-Venezuela 2013,Androni Giocattoli-Venezuela,Androni Giocattoli-Sidermec 2015,2014-01-01,road bicycle racing
NetApp-Endura 2014,NetApp-Endura 2013,NetApp-Endura,Bora-Argon 18 2015,2014-01-01,road bicycle racing
IAM 2014,IAM 2013,IAM Cycling,IAM 2015,2014-01-01,road bicycle racing
RusVelo 2013,RusVelo 2012,RusVelo,RusVelo 2014,2013-01-01,road bicycle racing
Accent Jobs-Wanty 2013,Accent Jobs-Willems Veranda's 2012,Accent Jobs-Wanty,Wanty-Groupe Gobert 2014,2013-01-01,road bicycle racing
Europcar 2013,Europcar 2012,Europcar,Europcar 2014,2013-01-01,road bicycle racing
Androni Giocattoli-Venezuela 2012,Androni Giocattoli-C.I.P.I. 2011,Androni Giocattoli-Venezuela,Androni Giocattoli-Venezuela 2013,2012-01-01,road bicycle racing
Drapac 2016,Drapac 2015,Drapac,Drapac-Pat's Veg Holistic Development 2017,2016-01-01,road bicycle racing
Novo Nordisk 2016,Novo Nordisk 2015,Novo Nordisk,Novo Nordisk 2017,2016-01-01,road bicycle racing
UnitedHealthcare 2016,UnitedHealthcare 2015,UnitedHealthcare,UnitedHealthcare 2017,2016-01-01,road bicycle racing
Gazprom-RusVelo 2016,RusVelo 2015,Gazprom-RusVelo,Gazprom-RusVelo 2017,2016-01-01,road bicycle racing
RusVelo 2015,RusVelo 2014,RusVelo,Gazprom-RusVelo 2016,2015-01-01,road bicycle racing
