col0,col1,col2,col3
Civic Democratic Alliance,Czech Republic,liberalism,Michael Žantovský
Radical Socialist Republican Party,Spain,social liberalism,Félix Gordón Ordás
Civilian Power,Russia,liberalism,Vladislav Inozemtsev
Liberal Reformers,Italy,libertarianism,Benedetto Della Vedova
Social Liberal Party,Moldova,centre-right,Oleg Serebrian
Freedom Union,Poland,liberalism,Władysław Frasyniuk
National Resurrection Party,Lithuania,conservative liberalism,Arūnas Valinskas
Liberal Democracy,France,conservative liberalism,Alain Madelin
Constitutional Democratic Party,Russian Empire,parliamentary system,Pavel Milyukov
New Union (Social Liberals),Lithuania,social liberalism,Artūras Paulauskas
Centre Union,Greece,liberalism,Georgios Papandreou
Democratic Republican Alliance,France,laissez faire,Charles Jonnart
Latvian Way,Latvia,liberalism,Ivars Godmanis
Liberal Party of Switzerland,Switzerland,liberalism,Pierre Weiss
German People's Party,German Reich,conservative liberalism,Gustav Stresemann
National Liberal Party,North German Confederation,national liberalism,Ernst Bassermann
German Democratic Party,Weimar Republic,liberalism,Erich Koch-Weser
Democratic Union,Poland,liberalism,Tadeusz Mazowiecki
Liberal Democratic Party of Germany,German Democratic Republic,liberalism,Manfred Gerlach
Liberal Democratic Congress,Poland,conservative liberalism,Donald Tusk
