col0,col1,col2,col3,col4,col5
Polish Institute in Tbilisi,2018-01-01,cultural institution,Tbilisi,Poland,Georgia
Polish Institute in New Delhi,2012-06-01,cultural institution,Delhi,Poland,India
Polish Institute in Vilnius,1996-03-01,cultural institution,Vilnius,Poland,Lithuania
Polish Institute in Vienna,1974-06-05,cultural institution,Vienna,Poland,Austria
Polish Institute in Rome,1992-01-01,cultural institution,Rome,Poland,Italy
Polish Institute in Düsseldorf,1993-01-01,cultural institution,Düsseldorf,Poland,Germany
Polish Cultural Institute in Tokyo,2011-01-01,cultural institution,Tokyo,Poland,Japan
Ambassy of Italy in Caracas,1857-01-01,embassy,Caracas,Italy,Venezuela
"Consular Agency of Poland, Smolensk",2011-01-01,Consular Agency,Smolensk,Poland,Russia
Tel Aviv Branch Office of the Embassy of the United States,2018-05-14,branch,Tel Aviv,"Embassy of the United States, Jerusalem",Israel
Polish Institute in Tbilisi,2018-01-01,diplomatic mission,Tbilisi,Poland,Georgia
Polish Institute in New Delhi,2012-06-01,diplomatic mission,Delhi,Poland,India
