col0,col1,col2,col3
Coastal Fleet,naval unit,Sweden,1904-01-01
Eastern Fleet,location,Saudi Arabia,1913-01-01
Home Fleet,marine unit,United Kingdom,1902-01-01
Pacific Fleet,marine unit,Russia,1731-01-01
Northern Fleet,marine unit,Russia,1933-06-01
Black Sea Fleet,marine unit,Russia,1783-01-01
Baltic Fleet,marine unit,Russia,1702-01-01
United States Ram Fleet,marine unit,United States of America,1862-01-01
United States Pacific Fleet,marine unit,United States of America,1907-01-01
Atlantic Fleet,marine unit,United Kingdom,1905-01-01
Eastern Fleet,fleet,Saudi Arabia,1913-01-01
Western Fleet,fleet,Saudi Arabia,1925-01-01
