col0,col1,col2,col3,col4,col5,col6
Legislative Assembly of Pará,Legislative Assembly of Brazilian states,Pará,president of the Legislative Assembly of Pará,Brazil,state deputy of Pará,Cabanagem Palace
Legislative Assembly of Rio Grande do Norte,Legislative Assembly of Brazilian states,Rio Grande do Norte,president of the Legislative Assembly of Rio Grande do Norte,Brazil,state deputy of Rio Grande do Norte,José Augusto Palace
Legislative Assembly of Minas Gerais,Legislative Assembly of Brazilian states,Minas Gerais,president of the Legislative Assembly of Minas Gerais,Brazil,state deputy of Minas Gerais,Inconfidência Palace
Legislative Chamber of Federal District,Legislative Assembly of Brazilian states,Federal District,president of the Legislative Chamber of the Brazilian Federal District,Brazil,district deputy of the Federal District,Democracy Palace
Legislative Assembly of Tocantins,Legislative Assembly of Brazilian states,Tocantins,president of the Legislative Assembly of Tocantins,Brazil,state deputy of Tocantins,Deputy João d'Abreu Palace
Legislative Assembly of Rio Grande do Sul,Legislative Assembly of Brazilian states,Rio Grande do Sul,president of the Legislative Assembly of Rio Grande do Sul,Brazil,state deputy of Rio Grande do Sul,Farroupilha Palace
Legislative Assembly of Paraná,Legislative Assembly of Brazilian states,Paraná,president of the Legislative Assembly of Paraná,Brazil,state deputy of Paraná,19 de Dezembro Palace
Legislative Assembly of Maranhão,Legislative Assembly of Brazilian states,Maranhão,president of the Legislative Assembly of Maranhão,Brazil,state deputy of Maranhão,Manuel Beckman Palace
Legislative Assembly of Espírito Santo,Legislative Assembly of Brazilian states,Espírito Santo,president of the Legislative Assembly of Espírito Santo,Brazil,state deputy of Espírito Santo,Domingos Martins Palace
Legislative Assembly of Amapá,Legislative Assembly of Brazilian states,Amapá,president of the Legislative Assembly of Amapá,Brazil,state deputy of Amapá,Deputado Nelson Salomão Palace
Legislative Assembly of Santa Catarina,Legislative Assembly of Brazilian states,Santa Catarina,president of the Legislative Assembly of Santa Catarina,Brazil,state deputy of Santa Catarina,Barriga Verde Palace
Legislative Assembly of Sergipe,Legislative Assembly of Brazilian states,Sergipe,president of the Legislative Assembly of Sergipe,Brazil,state deputy of Sergipe,Governor João Alves Filho Palace
Legislative Assembly of Roraima,Legislative Assembly of Brazilian states,Roraima,president of the Legislative Assembly of Roraima,Brazil,state deputy of Roraima,Antônio Martins Palace
Legislative Assembly of Pernambuco,Legislative Assembly of Brazilian states,Pernambuco,president of the Legislative Assembly of Pernambuco,Brazil,state deputy of Pernambuco,Joaquim Nabuco Palace
Legislative Assembly of Mato Grosso do Sul,Legislative Assembly of Brazilian states,Mato Grosso do Sul,president of the Legislative Assembly of Mato Grosso do Sul,Brazil,state deputy of Mato Grosso do Sul,Guaicurus Palace
