col0,col1,col2,col3,col4
Institute of Psychology,1971-01-01,Russia,Moscow,Department of Social Sciences
V.E. Zuev Institute of Atmospheric Optics,1969-01-01,Russia,Tomsk,Department of Earth Sciences
I. M. Sechenov Institute of Evolutionary Physiology and Biochemistry,1950-01-01,Russia,Saint Petersburg,Department of Physiological Sciences
Institute of Basic Biological Problems,1966-01-01,Russia,Pushchino,Department of Biological Sciences
Institute for Soil Science and Agricultural Chemistry,1968-01-01,Russia,Novosibirsk,Department of Biological Sciences
Severtsov Institute of Ecology and Evolution,1934-01-01,Russia,Moscow,Department of Biological Sciences
A.V. Topchiev Institute of Petrochemical Synthesis,1934-06-23,Russia,Moscow,Department of Chemistry and Material Sciences
Scientific Research Institute of System Development,1986-10-01,Russia,Moscow,Computer Equipment and Technologies
Institute of Economics,1971-01-01,Russia,Yekaterinburg,Ural Branch of Russian Academy of Sciences
Institute of Solid State Physics,1963-01-01,Russia,Chernogolovka,Physical Sciences Division
Institute of Applied Physics,1976-01-01,Russia,Nizhny Novgorod,Physical Sciences Division
Institute for Nuclear Research,1970-01-01,Russia,Moscow,Physical Sciences Division
Institute for Physical Problems,1934-01-01,Russia,Moscow,Physical Sciences Division
Institute for Spectroscopy Russian Academy of Sciences,1968-01-01,Russia,Moscow,Physical Sciences Division
Institute of Systematics and Ecology of Animals,1943-01-01,Russia,Novosibirsk,Siberian Branch of the Russian Academy of Sciences
Institute of Cytology and Genetics,1957-01-01,Russia,Novosibirsk,Novosibirsk State University
Institute of Chemistry of Silicates named after IV Grebenshchikov,1948-01-01,Russia,Saint Petersburg,Russian Academy of Sciences
Institute of the Human Brain,1928-11-13,Russia,Saint Petersburg,Department of Physiological Sciences
Institute of Molecular Genetics,1978-01-01,Russia,Moscow,Department of Biological Sciences
Institute of Machines Science,1938-01-01,Russia,Moscow,"Department of Energy, Engineering, Mechanics and Control Processes"
