col0,col1,col2,col3
Alé Cipollini Galassia 2017,2018 Alé Cipollini season,Daiva Tušlaitė,Alé Cipollini Galassia
Orica-Scott 2017,2018 Mitchelton-Scott (women) season,Gracie Elvin,Orica-Scott
Alé Cipollini Galassia 2017,2018 Alé Cipollini season,Anna Trevisi,Alé Cipollini Galassia
Wiggle High5 2017,Wiggle High5 2018,Lucy Garner,Wiggle High5
Servetto Footon 2016,Servetto Giusta 2017,Jolanda Neff,Servetto Footon
Wiggle High5 2017,Wiggle High5 2018,Audrey Cordon,Wiggle High5
Topsport Vlaanderen-Etixx 2016,Sport Vlaanderen-Etixx 2017,Jessy Druyts,Topsport Vlaanderen-Etixx
Alé Cipollini Galassia 2017,2018 Alé Cipollini season,Janneke Ensing,Alé Cipollini Galassia
Orica-Scott 2017,2018 Mitchelton-Scott (women) season,Rachel Neylan,Orica-Scott
Visit Dallas DNA 2016,Visit Dallas DNA 2017,Mia Manganello,Visit Dallas DNA
