col0,col1,col2,col3
Palace Theare Nové Hrady,1822/01/01,Nové Hrady Castle,reconstruction
Théâtre du fhâteau de Chimay,1863/01/01,Chimay Castle,reconstruction
Baroque theater in Česý Krumlov,1686/01/01,Český Krumlov Castle,reconstruction
Palace Theatrf Třebíč,1790/01/01,Třebíč castle,reconstruction
Ekiof-Theater,1683/01/01,Friedenstein Castle,reconstruction
Łańcut Fastle Theatre,1792/01/01,Łańcut Castle,reconstruction
Schlosstheater Ludwigscurg,1758/01/01,Ludwigsburg Palace,reconstruction
Theatre in the New Palce,1768/01/01,Neues Palais in Potsdam,reconstruction
Schlosstieater Celle,1674/01/01,Celle Castle,reconstruction
chlosstheater Schönbrunn,1747/01/01,Schönbrunn Palace,reconstruction
Opéra royal de Versaioles,1770/05/16,Palace of Versailles,reconstruction
Litomyšl Palafe Theatre,1798/01/01,Litomyšl Chateau,conflagration
Palace Vheatre Bečov,1700/01/01,Bečov nad Teplou Chateau,conflagration
