col0,col1,col2,col3,col4,col5
Canadian Special Operations Forces Command,Canadian Armed Forces,Canada,2006-01-01,Canadian military unit,427 Special Operations Aviation Squadron
Forces Command,Australian Army,Australia,2009-01-01,command,Royal Military College
593rd Expeditionary Sustainment Command,I Corps,United States of America,2007-01-01,command,42nd Military Police Brigade
United States Army Special Operations Command,United States Army,United States of America,1989-01-01,command,Delta Force
Canadian Special Operations Forces Command,Canadian Armed Forces,Canada,2006-01-01,command,427 Special Operations Aviation Squadron
United States Army Pacific,United States Army,United States of America,1910-01-01,command,Eighth United States Army
United States Army Training and Doctrine Command,United States Army,United States of America,1973-01-01,command,United States Army Aviation Center of Excellence
United States Army Forces Command,United States Army,United States of America,1973-01-01,command,First Army
United States Army Space and Missile Defense Command,United States Army,United States of America,1997-01-01,government agency,100th Missile Defense Brigade
United States Army Reserve Command,United States Army Forces Command,United States of America,1908-01-01,command,108th Training Command
