col0,col1,col2,col3,col4
Michigan State University,McLaren Flint,H-Net,39423,East Lansing
"University of California, Berkeley","Vice Provost for the Faculty, University of California Berkeley",California Memorial Stadium,40173,Berkeley
University of Minnesota,University of Minnesota Medical School,University of Minnesota Armory,67949,Minneapolis
University of Toronto,University of Toronto Faculty of Information,WebCite,73185,Toronto
London School of Economics and Political Science,Systemic Risk Centre,Peacock Theatre,9218,London
Michigan State University,"College of Communication Arts and Sciences, Michigan State University",H-Net,39423,East Lansing
University of Minnesota,"Graduate School, University of Minnesota",University of Minnesota Armory,67949,Minneapolis
King's College London,"Menzies Centre for Australian Studies, King's College London, University of London",Champion Hill,18630,London
National Autonomous University of Mexico,Chopo University Museum,Universitary Olympic Stadium,356530,Coyoacán
University of Virginia,"Carter G. Woodson Institute for African-American and African Studies, University of Virginia",Klöckner Stadium,21000,Charlottesville
