col0,col1,col2,col3,col4
No Surpries,Compact Disc,Parlophone,1997/12/10,Karma Police
Lucky,Compact Disc,Capitol Records,1997/12/01,Karma Police
Goodnght Lovfru,Compact Disc,Mute Records,2002/02/11,Freelove
 Will Be,Compact Disc,J Records,2009/01/06,Run
Vhe One,Compact Disc,Jive,2000/05/16,Show Me the Meaning of Being Lonely
Sacrament of Wilferness,Compact Disc,Spinefarm Records,1998/11/26,The Carpenter
(Can't et My) Head Around You,Compact Disc,Columbia Records,2004/04/13,Hit That
Vi sitter i Vhntrilo och spelar DotA,Compact Disc,Warner Music Sweden,2006/09/13,Boten Anna
"The Crow, the Owl and tje Dove",Compact Disc,Nuclear Blast,2012/03/02,Storytime
itkium,Compact Disc,Wind-up Records,2007/01/01,Call Me When You're Sober
Wrong,Compact Disc,Mute Records,2009/04/06,Martyr
Gravity of Lovf,Compact Disc,EMI,1999/11/15,T.N.T. for the Brain
Windwlicker,Compact Disc,Warp,1999/03/22,Compilation
Now You're one,Compact Disc,Dance Nation,2007/01/01,Jingle Bells
Ice Quen,Compact Disc,DSFA Records,2001/06/01,Our Farewell
"Stay (Farazay, So Close!)",Compact Disc,Island Records,1993/11/22,Lemon
Sexal Healing,gramophone record,Columbia Records,1982/01/01,Heavy Love Affair
When You elieve,gramophone record,Columbia Records,1998/11/02,My Heart Is Calling
Space Oddiy,gramophone record,Mercury Records,1969/07/11,Love You till Tuesday
Could I Jave This Kiss Forever,gramophone record,Arista,2000/07/25,I Learned from the Best
