col0,col1,col2,col3
Museum of the Slovak Village,Martin,1968-09-03,ethnographic museum
Museo Etnológico del Montseny,Edifici La Gabella,1985-05-01,ethnographic museum
Izmir Ethnography Museum,İzmir,1984-01-01,ethnographic museum
Fondation Lorin,Rue Es-Siaghine,1930-01-01,ethnographic museum
Museu Etnográfico da Praia,Rua 5 de Julho,1997-10-05,ethnographic museum
Berat National Ethnographic Museum,Berat,1979-01-01,ethnographic museum
Nusantara Museum,Sint-Agathaklooster,1911-01-01,ethnographic museum
Latvian Ethnographic Open Air Museum,Berģi,1501-01-01,ethnographic museum
Ethnographic Museum,Butare,1987-01-01,ethnographic museum
Dimitrie Gusti National Village Museum in Bucharest,Herăstrău Park,1909-01-01,ethnographic museum
Museum of Ethnography,Gärdet,1900-01-01,ethnographic museum
National Museum of Ethnography,Warsaw,1888-01-01,ethnographic museum
