col0,col1,col2,col3,col4
Roman Catholic Diocese of Lancaster,English,Roman Catholic Diocese of Galloway,Lancaster Cathedral,1218000
Roman Catholic Diocese of Brentwood,English,Roman Catholic Archdiocese of Westminster,Brentwood Cathedral,2789000
Roman Catholic Diocese of Arundel and Brighton,English,Roman Catholic Archdiocese of Westminster,Arundel Cathedral,3285000
Roman Catholic Diocese of Debrecen–Nyíregyháza,Hungarian,Roman Catholic Diocese of Mukacheve,"Saint Anne Cathedral, Debrecen",1145000
Roman Catholic Diocese of Fidenza,Italian,Roman Catholic Diocese of Cremona,Fidenza Cathedral,71928
Roman Catholic Diocese of Caltanissetta,Italian,Roman Catholic Diocese of Cefalù,Caltanissetta Cathedral,148675
Roman Catholic Diocese of Prato,Italian,Roman Catholic Archdiocese of Florence,Prato Cathedral,223000
Roman Catholic Archdiocese of Avignon,French,Roman Catholic Diocese of Valence,Avignon Cathedral,503000
Roman Catholic Diocese of Hong Kong,Cantonese,Roman Catholic Diocese of Macau,Cathedral of the Immaculate Conception,7184000
Roman Catholic Archdiocese of New York,English,Roman Catholic Diocese of Albany,St. Patrick's Cathedral,5872756
Roman Catholic Diocese of Arras,French,Roman Catholic Diocese of Amiens,Arras Cathedral,1490820
Roman Catholic Diocese of Viseu,Portuguese,"Roman Catholic Diocese of Porto, Portugal",Viseu Cathedral,265331
Roman Catholic Diocese of Warszawa-Praga,Polish,Roman Catholic Archdiocese of Warsaw,St. Florian's Cathedral,1398000
Roman Catholic Diocese of Las Cruces,English,Roman Catholic Diocese of Lubbock,Cathedral of the Immaculate Heart of Mary,561937
Roman Catholic Diocese of Burlington,English,Roman Catholic Diocese of Manchester,Cathedral of the Immaculate Conception,661000
Roman Catholic Diocese of Crookston,English,Roman Catholic Diocese of Duluth,Cathedral of the Immaculate Conception,253262
Roman Catholic Diocese of Manchester,English,Roman Catholic Diocese of Burlington,Cathedral of St. Joseph,1326813
Roman Catholic Diocese of Duluth,English,Roman Catholic Diocese of Crookston,Cathedral of Our Lady of the Rosary,447568
Roman Catholic Diocese of Lubbock,English,Roman Catholic Diocese of Las Cruces,Cathedral of Christ the King,487000
Roman Catholic Diocese of Mantua,Italian,Roman Catholic Diocese of Adria-Rovigo,Mantua Cathedral,376015
