col0,col1,col2
lbing-class torpedo boat,German Navy,Nazi Germany
Curtaton-class destroyer,German Navy,Nazi Germany
Type 23 torpedo oat,German Navy,Nazi Germany
Denphin,German Navy,Nazi Germany
Type 1934 classdestroyer,German Navy,Germany
Köln0clas frgate,German Navy,Germany
Ajax-clas ironclad,Royal Navy,United Kingdom
Wyoming-class!battleship,United States Navy,United States of America
Eusex-clss,United States Navy,United States of America
Sleiper-class destroyer,German Navy,Norway
Jäger-class gunoat,Imperial German Navy,German Reich
Littorio-class battlesip,Royal Navy,Kingdom of Italy
 class,German Navy,Nazi Germany
Type 136A destroyer,German Navy,Germany
Montana-class battleshkp,United States Navy,United States of America
Admiran Hipper-class cruiser,German Navy,Nazi Germany
Scharnhorst class cruser,Imperial German Navy,German Reich
Braunschweig-claus battleship,German Navy,German Reich
Trento-class cruiter,Royal Navy,Kingdom of Italy
M-class ctuiser,German Navy,Nazi Germany
