col0,col1,col2,col3,col4,col5
Research Centre on Animal Cognition,Toulouse,2003-01-01,France,Martin Giurfa,Toulouse III University - Paul-Sabatier
Institute of Paleoprimatology Human Paleontology Evolution and Paleoenvironments,Poitiers,2012-01-01,France,Patrick Vignaud,University of Poitiers
"Maladies Infectieuses et Vecteurs : Ecologie, Génétique, Evolution et Contrôle",Montpellier,2011-01-01,France,Frédéric Simard,National Center for Scientific Research
Laboratoire de Neurosciences Cognitives,Paris,2012-01-01,France,Bruno Poucet,National Center for Scientific Research
Laboratoire Physiologie Cellulaire & Végétale,Grenoble,2003-01-01,France,Norbert Rolland,National Center for Scientific Research
Centre for Biochemical and Macromolecular Research,Montpellier,1966-01-01,France,Anne Debant,National Center for Scientific Research
Laboratory for the Psychology of Child Development and Education,Paris,2014-01-01,France,Olivier Houdé,National Center for Scientific Research
Laboratoire de Chimie et Biologie des Métaux,Grenoble,2006-01-01,France,Marc Fontecave,National Center for Scientific Research
Centre d'Économie de la Sorbonne,13th arrondissement of Paris,2006-01-01,France,Lionel Fontagné,École normale supérieure Paris-Saclay
"Travaux et Recherches Archéologiques sur les Cultures, les Espaces et les Sociétés",Toulouse,1995-01-01,France,Pierre Moret,School for Advanced Studies in the Social Sciences
Rétrovirus Endogènes et Eléments Rétroides des Eucaryotes Supérieurs,Paris,2015-01-01,France,Thierry Heidmann,Institut Gustave Roussy
Center for Interdisciplinary Research in Biology,Paris,2011-01-01,France,Alain Prochiantz,Collège de France
"Laboratory for Photonics, Numerical and Nano sciences",Talence,2011-01-01,France,Philippe Bouyer,University of Bordeaux
Matériaux Ingénierie et Science,Villeurbanne,1995-01-01,France,Jérôme Chevalier,Claude Bernard University Lyon 1
Centre for Cognitive Neuroscience,Bron,2006-01-01,France,Angela Sirigu,Claude Bernard University Lyon 1
LJLL,Paris,1997-01-01,France,Benoît Perthame,University of Paris VI: Pierre-and-Marie-Curie University
Institut de recherches historiques du Septentrion,Villeneuve-d'Ascq,1998-01-01,France,Stéphane Michonneau,Charles de Gaulle University of humanities arts and social sciences
Center for International Studies,6th arrondissement of Paris,1952-01-01,France,Alain Dieckhoff,Sciences Po
LMV,Clermont-Ferrand,1996-01-01,France,Didier Laporte,Blaise Pascal University (Clermont II)
