col0,col1,col2,col3
Archives LGBTQI,LGBT,association under the French law of 1901,voluntary association
Comede,migrant,association under the French law of 1901,voluntary association
Les lesbiennes dépassent les frontières,lesbian,voluntary association,voluntary association
Conscience et Impact Écologique,ecology,association under the French law of 1901,voluntary association
Arcade Vintage,amusement arcade,voluntary association,voluntary association
Lidové divadlo,folk theatre,spolek,voluntary association
Association Française de Catalanistes,catalan culture,voluntary association,voluntary association
Bundesarbeitsgemeinschaft Kinder- und Jugendschutz,youth welfare services,registered association,voluntary association
Association pour la recherche et l'archivage de la mémoire arménienne,history of Armenia,association under the French law of 1901,voluntary association
Hungarian Beekeepers Federation,bee-keeping,voluntary association,voluntary association
