col0,col1,col2,col3,col4,col5,col6
Danone,joint-stock company,Barcelona,yogurt,boulevard Haussmann,Actimel,business
"Mars, Incorporated",privately held company,Tacoma,Mars,McLean,Wrigley Company,food manufacturer
Danone,joint-stock company,Barcelona,yogurt,boulevard Haussmann,Gervais,food manufacturer
"Mars, Incorporated",privately held company,Tacoma,Mars,McLean,Wrigley Company,chocolaterie
Danone,joint-stock company,Barcelona,yogurt,boulevard Haussmann,Danone,food manufacturer
Ferrero SpA,joint-stock company,Alba,Kinder Surprise,Alba,Pozzuolo Martesana,chocolaterie
Mondelēz International,joint-stock company,Chicago,comfit,Deerfield,Tassimo,food manufacturer
"Mars, Incorporated",privately held company,Tacoma,Mars,McLean,Banfield Pet Hospital,food manufacturer
Mondelēz International,joint-stock company,Chicago,comfit,Deerfield,Tassimo,chocolaterie
"Mars, Incorporated",privately held company,Tacoma,Mars,McLean,Banfield Pet Hospital,chocolaterie
