col0,col1,col2,col3
Hadash,1977-01-01,communism,Ayman Odeh
The Jewish Home,2008-01-01,One-state solution,Rafi Peretz
Balad,1995-01-01,Arab nationalism,Jamal Zahalka
Ta'al,1990-01-01,Arab citizens of Israel,Ahmad Tibi
Degel HaTorah,1988-01-01,Torah,Moshe Gafni
United Torah Judaism,1992-01-01,Haredi Judaism,Yaakov Litzman
National Religious Party,1956-01-01,religious Zionism,Haim-Moshe Shapira
Herut,1948-06-15,Revisionist Zionism,Michael Kleiner
Yesh Atid,2012-01-01,liberalism,Yair Lapid
Israeli Labor Party,1968-01-21,social democracy,Amir Peretz
Historical Right,1849-01-01,classical liberalism,Camillo Benso di Cavour
Hatnuah,2012-11-27,social liberalism,Tzipi Livni
Yisrael Beiteinu,1999-01-01,right-wing populism,Avigdor Lieberman
Likud,1973-09-13,conservatism,Benjamin Netanyahu
Mapai,1930-01-05,social democracy,David Ben-Gurion
Alignment,1969-01-01,electoral alliance,Yitzhak Rabin
Otzma LeYisrael,2012-01-01,religious Zionism,Aryeh Eldad
Yamina,2019-07-29,Revisionist Zionism,Naftali Bennett
Union of Right-Wing Parties,2019-02-21,national conservatism,Rafi Peretz
New Right,2018-12-29,Zionism,Naftali Bennett
