col0,col1,col2,col3,col4,col5,col6
villa de l'Astrolabe,15th arrondissement of Paris,rue de Vaugirard,France,1824-01-01,French ship Astrolabe,10.0
villa Thoréton,15th arrondissement of Paris,rue Lecourbe,France,1904-01-01,landlord,10.1
villa Souchier,16th arrondissement of Paris,rue Eugène-Delacroix,France,1878-01-01,landlord,4.0
villa Santos-Dumont,15th arrondissement of Paris,rue Santos-Dumont,France,1926-01-01,Alberto Santos-Dumont,6.0
villa de Cronstadt,19th arrondissement of Paris,rue Miguel-Hidalgo,France,1893-01-01,Kronstadt,3.0
villa de Lorraine,19th arrondissement of Paris,rue de la Liberté,France,1926-01-01,Duchy of Lorraine,3.0
villa d'Alésia,14th arrondissement of Paris,rue Baillou,France,1897-01-01,Battle of Alesia,7.0
villa des Roses,18th arrondissement of Paris,rue de la Chapelle,France,1935-01-01,Rosa,8.5
villa des Pyrénées,20th arrondissement of Paris,rue des Pyrénées,France,1875-01-01,Pyrenees,8.0
villa Paul-Verlaine,19th arrondissement of Paris,rue Miguel-Hidalgo,France,1926-01-01,Paul Verlaine,4.0
villa Victor-Hugo,16th arrondissement of Paris,avenue Victor-Hugo,France,1904-01-01,Victor Hugo,11.0
villa Stendhal,20th arrondissement of Paris,rue Stendhal,France,1913-01-01,Stendhal,12.0
villa Eugène-Leblanc,19th arrondissement of Paris,rue de Bellevue,France,1913-01-01,landlord,3.0
villa Deshayes,14th arrondissement of Paris,rue Didot,France,1880-01-01,landlord,6.0
villa Cheysson,16th arrondissement of Paris,avenue Georges-Risler,France,1887-01-01,landlord,2.3
villa Guibert,16th arrondissement of Paris,rue de la Tour,France,1895-01-01,landlord,5.0
villa Eugène-Manuel,16th arrondissement of Paris,rue Eugène-Manuel,France,1929-01-01,Eugène Manuel,11.5
villa Jules-Laforgue,19th arrondissement of Paris,rue Miguel-Hidalgo,France,1926-01-01,Jules Laforgue,3.0
villa Adrienne,14th arrondissement of Paris,avenue du Général-Leclerc,France,1896-01-01,Adrienne,4.6
villa Leconte-de-Lisle,16th arrondissement of Paris,rue Leconte-de-Lisle,France,1924-01-01,Charles Marie René Leconte de Lisle,3.5
