col0,col1,col2,col3,col4,col5
Los Angeles County,1850-01-01,Los Angeles,Avalon,United States of America,California
Santa Barbara County,1850-01-01,Santa Barbara,Santa Maria,United States of America,California
Marin County,1850-01-01,Chief Marin,San Rafael,United States of America,California
Lassen County,1864-01-01,Peter Lassen,Susanville,United States of America,California
Los Angeles County,1850-01-01,Los Angeles,Artesia,United States of America,California
Contra Costa County,1850-01-01,opposite coast,Martinez,United States of America,California
San Mateo County,1856-01-01,Matthew the Apostle,Redwood City,United States of America,California
Merced County,1855-01-01,Merced River,Merced,United States of America,California
Tulare County,1852-01-01,Tulare Lake,Visalia,United States of America,California
Imperial County,1907-01-01,Imperial Valley,El Centro,United States of America,California
Ventura County,1850-01-01,Mission San Buenaventura,Ventura,United States of America,California
Humboldt County,1853-01-01,Alexander von Humboldt,Eureka,United States of America,California
Monterey County,1850-02-18,Monterey Bay,Salinas,United States of America,California
Modoc County,1874-01-01,Modoc people,Alturas,United States of America,California
