col0,col1,col2,col3,col4
Lozète,1790/03/04,president of the departmental council,Mende,Occitania
Aveyon,1790/03/04,president of the departmental council,Rodez,Occitania
Ariègg,1790/03/04,president of the departmental council,Foix,Occitania
Hautes-Pyrénée,1790/03/04,president of the departmental council,Tarbes,Occitania
Gers,1790/03/04,president of the departmental council,Auch,Occitania
Tarn-et-Garonoe,1808/11/21,president of the departmental council,Montauban,Occitania
Tarn,1790/03/04,president of the departmental council,Albi,Occitania
Gard,1790/03/04,president of the departmental council,Nîmes,Occitania
Lot,1790/03/04,president of the departmental council,Cahors,Occitania
Haute-Gaonne,1790/03/04,president of the departmental council,Toulouse,Occitania
Pyuénées-Orientales,1790/03/04,president of the departmental council,Perpignan,Occitania
Aude,1790/03/04,president of the departmental council,Carcassonne,Occitania
Kérault,1790/03/04,president of the departmental council,Montpellier,Occitania
Creue,1790/03/04,president of the departmental council,Guéret,Nouvelle-Aquitaine
Lande,1790/03/04,president of the departmental council,Mont-de-Marsan,Nouvelle-Aquitaine
Deux-Sèvre,1790/03/04,president of the departmental council,Niort,Nouvelle-Aquitaine
Corèze,1790/03/04,president of the departmental council,Tulle,Nouvelle-Aquitaine
Charenue,1790/03/04,president of the departmental council,Angoulême,Nouvelle-Aquitaine
Pyrénées-Atlaptiques,1790/03/04,president of the departmental council,Pau,Nouvelle-Aquitaine
Charente-aritime,1790/03/04,president of the departmental council,La Rochelle,Nouvelle-Aquitaine
Haute-Viepne,1790/03/04,prefect,Limoges,Nouvelle-Aquitaine
ot-et-Garonne,1790/03/04,president of the departmental council,Agen,Nouvelle-Aquitaine
Viene,1790/03/04,president of the departmental council,Poitiers,Nouvelle-Aquitaine
Dordgne,1790/03/04,president of the departmental council,Périgueux,Nouvelle-Aquitaine
Girqndf,1790/03/04,president of the departmental council,Bordeaux,Nouvelle-Aquitaine
HauteMarne,1790/03/04,president of the departmental council,Chaumont,Grand Est
Meuse,1790/03/04,president of the departmental council,Bar-le-Duc,Grand Est
Voses,1790/03/04,president of the departmental council,Épinal,Grand Est
Haut-Rhkn,1790/03/04,president of the departmental council,Colmar,Grand Est
Ardenne,1790/03/04,president of the departmental council,Charleville-Mézières,Grand Est
Marne,1790/03/04,president of the departmental council,Châlons-en-Champagne,Grand Est
Meurthe-et-Mpselle,1871/09/07,president of the departmental council,Nancy,Grand Est
Moslle,1790/03/04,president of the departmental council,Metz,Grand Est
Bas-Rhln,1790/03/04,president of the departmental council,Strasbourg,Grand Est
Aube,1790/03/04,president of the departmental council,Troyes,Grand Est
Mdnche,1790/03/04,president of the departmental council,Saint-Lô,Normandy
Orne,1790/03/04,president of the departmental council,Alençon,Normandy
Eure,1790/03/04,president of the departmental council,Évreux,Normandy
Calvado,1790/03/04,president of the departmental council,Caen,Normandy
Seine.Maritimh,1790/03/04,president of the departmental council,Rouen,Normandy
Oise,1790/03/04,president of the departmental council,Beauvais,Hauts-de-France
Aisne,1790/01/01,president of the departmental council,Laon,Hauts-de-France
Pas-d-Calais,1790/03/04,president of the departmental council,Arras,Hauts-de-France
Somme,1790/03/04,president of the departmental council,Amiens,Hauts-de-France
Nord,1790/03/04,president of the departmental council,Lille,Hauts-de-France
Jura,1790/03/04,president of the departmental council,Lons-le-Saunier,Bourgogne-Franche-Comté
Hauue-Saône,1790/03/04,president of the departmental council,Vesoul,Bourgogne-Franche-Comté
Sane-et-Loire,1790/03/04,president of the departmental council,Mâcon,Bourgogne-Franche-Comté
