col0,col1,col2,col3,col4
Colombia national football team,national association football team,national association football team,Carlos Queiroz,Radamel Falcao
Peru national football team,national association football team,national association football team,Ricardo Gareca,Paolo Guerrero
Costa Rica national football team,national association football team,national association football team,Rónald González,Bryan Ruiz
Northern Ireland national football team,national association football team,national association football team,Michael O'Neill,Steven Davis
Saudi Arabia national football team,national association football team,national association football team,Juan Antonio Pizzi,Yasser Al-Qahtani
Iran national football team,national association football team,national association football team,Carlos Queiroz,Ashkan Dejagah
Serbia national football team,national association football team,national association football team,Mladen Krstajić,Aleksandar Kolarov
Nigeria national football team,national association football team,national association football team,Gernot Rohr,Mikel John Obi
Bosnia and Herzegovina national football team,national association football team,national association football team,Robert Prosinečki,Edin Džeko
Cameroon national football team,national association football team,national association football team,Henri Michel,Stéphane Mbia
