col0,col1,col2
Max Planck Institute for Molecular Genetics,molecular biology,Dahlem
Fritz Haber Institute of the MPG,physics,Dahlem
Max Planck Institute for Gravitational Physics,gravity,Golm
Max Planck Institute for Colloids and Interfaces,physical chemistry,Golm
Max Planck Institute for Molecular Plant Physiology,physiology,Golm
Max Planck Institute of Quantum Optics,quantum optics,Garching bei München
Max Planck Institute for Molecular Physiology,cell biology,Max Planck Society
Max Planck Institute for Psycholinguistics,linguistics,Nijmegen
Max Planck Institute for Terrestrial Microbiology,microbiology,Marburg
Max Planck Institute for the Science of Human History,archaeogenetics,Jena
Max Planck Institute for the Science of Light,optics,Erlangen
Max Planck Institute for the Study of Religious and Ethnic Diversity,social science,Göttingen
Max Planck Institute for Experimental Medicine,medicine,Göttingen
Max Planck Institute for Solar System Research,astronomy,Göttingen
Max Planck Institute for Comparative Public Law and International Law,jurisprudence,Heidelberg
Max Planck Institute for Coal Research,organic chemistry,Mülheim an der Ruhr
Max Planck Institute for Foreign and International Criminal Law,criminal law,Freiburg im Breisgau
Max Planck Institute of Immunobiology and Epigenetics,biology,Freiburg im Breisgau
Max Planck Institute for Social Anthropology,ethnology,Halle (Saale)
Max Planck Institute for Dynamics of Complex Technical Systems,engineering,Magdeburg
