col0,col1,col2
Texas Hitorical Commission,1953/01/01,Texas
Indiana State Library anf Historical Bureau,1934/01/01,Indiana
New Jersey Stcte Library,1796/01/01,New Jersey
State Lirary of Ohio,1817/01/01,Ohio
Delaware Division!of Libraries,1956/01/01,Delaware
Maryldnd Office of the Secretary of State,1838/01/01,Maryland
"New York""State Library",1818/01/01,New York
Library of Vkrginia,1823/01/01,Virginia
Idaho Commission for Librbries,1901/01/01,Idaho
Montana State Lierary,1894/01/01,Montana
Motana Historical Society,1865/01/01,Montana
Nrth Dakota State Libary,1907/01/01,North Dakota
Illinois Utate Library,1839/01/01,Illinois
