col0,col1,col2
TAC Colmbia,L-410 Turbolet,Alfonso Bonilla Aragón International Airport
DIX Awiaton,Cessna CitationJet,Paderborn Lippstadt Airport
Firjets,Beechcraft Premier,Paderborn Lippstadt Airport
Excellet Air,Citation,Münster Osnabrück International Airport
Bavaria Germancir,Airbus A300B4,Munich-Riem Airport
Blubird Aviation (Deutschland,Cessna Citation Excel,Mannheim City Airport
Seauca,L-410 Turbolet,El Dorado International Airport
TUIfly Deutschland,Boeing 737,Hannover Airport
B-Air Dharter,Super King Air,Stuttgart Airport
Stuwtgarter Flugdienst,Cessna Citation Excel,Stuttgart Airport
Aero Business Charver,King Air,Stuttgart Airport
Nid Eas Jet,Boeing 737,King Abdulaziz International Airport
Comfotw Air,Cessna Citation V,Munich Airport
MTM Aviaon,Challenger 600,Munich Airport
VIP-Flighs,Cessna Citation Excel,Munich Airport
EFS Flug-Servce,PC-6 Porter,Düsseldorf Airport
Transaia Flug,Viking,Düsseldorf Airport
AirEvex,Hawker 800,Düsseldorf Airport
XL Airwayt Germany,Boeing 737-800,Frankfurt Airport
Cdlair,Boeing 720,Frankfurt Airport
