col0,col1,col2,col3,col4
Captain & Tennille,pop music,1974-01-01,Grammy Award for Record of the Year,Captain & Tennille discography
Ike & Tina Turner,rock and roll,1960-01-01,Grammy Hall of Fame,Ike & Tina Turner discography
DJ Jazzy Jeff & The Fresh Prince,hip hop music,1986-01-01,MTV Video Music Award for Best Rap Video,DJ Jazzy Jeff & The Fresh Prince discography
Bolbbalgan4,K-pop,2016-01-01,Korean Music Awards,Bolbbalgan4 discography
The Judds,country music,1983-01-01,Grammy Award for Best Country Performance by a Duo or Group with Vocal,The Judds discography
Shankar Jaikishan,film score,1949-01-01,Filmfare Awards,Shankar Jaikishan discography
The Carpenters,rock music,1969-01-01,Grammy Hall of Fame,Carpenters discography
2 Unlimited,Eurodance,1991-01-01,Popprijs,2 Unlimited discography
Erasure,new wave,1985-01-01,BRIT Awards,Erasure discography
Simon & Garfunkel,folk rock,1956-01-01,Rock and Roll Hall of Fame,Simon & Garfunkel discography
Sly and Robbie,reggae,1970-01-01,Grammy Award for Best Reggae Album,Sly and Robbie discography
The Knife,electronic music,1999-01-01,Nordic Music Prize,The Knife discography
Everly Brothers,country music,1951-01-01,Grammy Lifetime Achievement Award,The Everly Brothers discography
