col0,col1,col2,col3
Ufa International Airport,Republic of Bashkortostan,3222825,1924-01-01
Umeå Airport,Swedavia,960351,1961-01-01
Åre Östersund Airport,Swedavia,511986,1927-01-01
Visby Airport,Swedavia,467857,1942-01-27
Louis Armstrong New Orleans International Airport,New Orleans,11365487,1944-01-10
Detroit Metropolitan Wayne County Airport,Wayne County,35236676,1940-01-04
Fort Lauderdale–Hollywood International Airport,Broward County,35963370,1940-01-04
Southwest Florida International Airport,Lee County,8604673,1983-01-03
Nashville International Airport,Nashville,12979803,1936-01-01
Buffalo Niagara International Airport,Niagara Frontier Transportation Authority,4618748,1940-01-03
Bilbao Airport,ENAIRE,5469453,1948-09-19
Charlotte/Douglas International Airport,Charlotte,46444380,1937-01-09
Federico García Lorca Granada Airport,ENAIRE,1126389,1972-01-01
