col0,col1,col2,col3
Krojer,retail,United States of America,big-box store
Iceland (Supermaret),retail,United Kingdom,frozen food
Siqsbury's,retail,United Kingdom,hypermarket
Trafer Joe's,grocery store,United States of America,private label
Carsefour Market,mass-market retailing,France,supermarket
Champon,retail,France,supermarket
SPAR,retail,Netherlands,supermarket
Jumbo,retail,Belgium,supermarket
JewelOsco,retail,United States of America,supermarket
Loblaw Compankes,retail,Canada,clothing
Oercadona,retail,Spain,grocery store
Harriv Teegr,supermarket,United States of America,bakery
Stew Leonard)s,dairy product,United States of America,food
Rimi,retail,Norway,food
Giant Food Store,retail,United States of America,grocery store
