col0,col1,col2,col3
Escola Secundária José Estêvão,Glória e Vera Cruz,Glória,heritage without legal protection
Westminster Abbey Choir School,City of Westminster,London,Grade II listed building
St Crispin's School,Wokingham,Wokingham,Grade II listed building
The Geelong College,Victoria,Newtown,listed on the Victorian Heritage Register
St Edmund's School,Middlesex,Canterbury,Grade I listed building
West Buckland School,"West Buckland, Devon",Barnstaple,Grade II listed building
Escola Secundária Carolina Michaelis,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Cedofeita,heritage without legal protection
Escola Secundária Frei Heitor Pinto,Covilhã e Canhoso,São Pedro,heritage without legal protection
Trafton School,Snohomish County,Arlington,place listed on the National Register of Historic Places
Virginia Randolph Cottage,Henrico County,Glen Allen,National Historic Landmark
St Mary's Music School,City of Edinburgh,Edinburgh,category B listed building
"St Margaret's School, Edinburgh",Edinburgh,Edinburgh,category B listed building
