col0,col1,col2
Berklee College of Music,United States of America,5272
University of Tromsø – The Arctic University of Norway,Norway,8000
University of Bergen,Norway,16900
Waseda University,Japan,50221
Polytechnique Montréal,Canada,5820
Los Andes Peruvian University,Peru,1800
Narxoz University,Kazakhstan,7000
Burg Giebichenstein University of Art and Design Halle,Germany,1059
University of Stirling,United Kingdom,14000
Tor Vergata University of Rome,Italy,38716
Case Western Reserve University,United States of America,9963
DigiPen Institute of Technology,United States of America,871
"California State University, Bakersfield",United States of America,8700
California College of the Arts,United States of America,1800
Carleton University,Canada,28289
University of Prince Edward Island,Canada,4400
Al-Quds University,State of Palestine,9200
Ahmadu Bello University,Nigeria,49436
Technion – Israel Institute of Technology,Israel,13703
University for Peace,Costa Rica,124
