col0,col1,col2,col3,col4,col5,col6
2014 World Figure Skating Championships - ice dancing short dance,2014 World Figure Skating Championships - ice dancing,Anna Cappellini,International Skating Union,Japan,senior,2014-03-28
2013 Four Continents Figure Skating Championships - ice dancing short dance,2013 Four Continents Figure Skating Championships - ice dancing,Tessa Virtue,International Skating Union,Japan,senior,2013-02-08
2013 World Figure Skating Championships - ice dancing short dance,2013 World Figure Skating Championships - ice dancing,Meryl Davis,International Skating Union,Canada,senior,2013-03-14
figure skating at the 2012 Winter Youth Olympics - ice dancing short dance,figure skating at the 2012 Winter Youth Olympics – ice dancing,Anna Yanovskaya,International Olympic Committee,Austria,junior,2012-01-15
figure skating at the 2017 Winter Universiade - ice dancing short dance,figure skating at the 2017 Winter Universiade – ice dance,Oleksandra Nazarova,International Skating Union,Kazakhstan,senior,2017-02-02
2015 Rostelecom Cup - ice dancing short dance,2015 Rostelecom Cup - ice dancing,Kaitlyn Weaver,International Skating Union,Russia,senior,2015-11-20
2016 Rostelecom Cup - ice dancing short dance,2016 Rostelecom Cup - ice dancing,Madison Chock,International Skating Union,Russia,senior,2016-11-04
2017 Rostelecom Cup - ice dancing short dance,2017 Rostelecom Cup - ice dancing,Maia Shibutani,International Skating Union,Russia,senior,2017-10-20
2017 Cup of China - ice dancing short dance,2017 Cup of China - ice dancing,Gabriella Papadakis,International Skating Union,People's Republic of China,senior,2017-11-03
2016 Cup of China - ice dancing short dance,2016 Cup of China - ice dancing,Kaitlyn Weaver,International Skating Union,People's Republic of China,senior,2016-11-18
2015 Cup of China - ice dancing short dance,2015 Cup of China - ice dancing,Anna Cappellini,International Skating Union,People's Republic of China,senior,2015-11-06
2016 Trophée de France - ice dancing short dance,2016 Trophée de France - ice dancing,Gabriella Papadakis,International Skating Union,France,senior,2016-11-11
2017 Internationaux de France - ice dancing short dance,2017 Internationaux de France - ice dancing,Gabriella Papadakis,International Skating Union,France,senior,2017-11-17
