col0,col1,col2,col3,col4,col5
Roman Catholic Archdiocese of Trento,Trento,6212,Lauro Tisi,Roman Catholic Diocese of Como,Catholicism
Roman Catholic Archdiocese of Pescara-Penne,Pescara,1600,Tommaso Valentinetti,Roman Catholic Archdiocese of Chieti-Vasto,Catholicism
Roman Catholic Archdiocese of Montpellier,Montpellier,6101,Pierre-Marie Carré,Roman Catholic Diocese of Carcassonne-Narbonne,Latin Church
Roman Catholic Archdiocese of Miami,Miami,12836,Thomas Wenski,Roman Catholic Diocese of Palm Beach,Catholic Church
Roman Catholic Archdiocese of Medan,Medan,102738,Kornelius Sipayung,Roman Catholic Diocese of Padang,Catholic Church
Roman Catholic Archdiocese of Montevideo,Montevideo,540,Daniel Sturla,Roman Catholic Diocese of Canelones,Catholic Church
Roman Catholic Archdiocese of Melbourne,Melbourne,27194,Peter Andrew Comensoli,Roman Catholic Diocese of Ballarat,Catholic Church
Roman Catholic Archdiocese of Niamey,Niamey,200000,Djalwana Laurent Lompo,Roman Catholic Diocese of Mopti,Catholic Church
Roman Catholic Archdiocese of Milwaukee,Milwaukee,12323,Jerome Edward Listecki,Roman Catholic Diocese of Rockford,Catholic Church
Roman Catholic Archdiocese of Oklahoma City,Oklahoma City,109997,Paul Stagg Coakley,Roman Catholic Diocese of Fort Worth,Catholic Church
Roman Catholic Archdiocese of Monterrey,Monterrey,17448,Rogelio Cabrera López,Roman Catholic Diocese of Linares,Catholicism
Roman Catholic Archdiocese of Modena-Nonantola,Modena,2089,Erio Castellucci,Roman Catholic Archdiocese of Lucca,Catholicism
Roman Catholic Archdiocese of Monreale,Monreale,1509,Michele Pennisi,Roman Catholic Diocese of Trapani,Catholicism
