col0,col1,col2,col3
Norled,2000-04-07,joint-stock company,Stavanger
Company of Scotland,1695-06-26,joint-stock company,Edinburgh
AEW Energie,1916-01-01,Aktiengesellschaft,Aarau
Sulzer,1834-01-01,Aktiengesellschaft,Winterthur
Ulyanovsk Mechanical Plant,1966-01-01,joint-stock company,Ulyanovsk
Accu Holding,1896-01-01,Aktiengesellschaft,Emmen
Madarail,1999-01-01,joint-stock company,Antananarivo
Beogradska industrija piva,1839-01-01,joint-stock company,Belgrade
Wolfsburg AG,1999-01-01,Aktiengesellschaft,Wolfsburg
10tacle Studios,2003-01-01,Aktiengesellschaft,Darmstadt
Friedrich Krupp AG,1903-01-01,Aktiengesellschaft,Essen
VMZ,1994-01-01,private limited liability company,Vologda
UFO Network,1996-04-15,joint-stock company,Taipei
Severalmaz,1992-01-01,open joint-stock company,Arkhangelsk
Arcelor,2001-01-01,joint-stock company,Luxembourg
C&C Media,2001-06-15,joint-stock company,Tokyo
Debitel,1991-01-01,Aktiengesellschaft,Stuttgart
Krasnoyarsk machine-building plant,1932-07-13,joint-stock company,Krasnoyarsk
Titan-Barrikady,1950-01-28,joint-stock company,Volgograd
JSC Kuznetsov,1912-01-01,open joint-stock company,Samara
