col0,col1,col2,col3
Roman Catholic Diocese of Bragança-Miranda,Portuguese,Bragança,Diocese of Miranda do Douro
Roman Catholic Diocese of Plymouth,English,Plymouth,Vicar Apostolic of the Western District
Roman Catholic Diocese of Northampton,English,Northampton,Vicar Apostolic of the Midland District
Roman Catholic Diocese of Shrewsbury,English,Shrewsbury,Vicar Apostolic of the Lancashire District
Roman Catholic Diocese of Salford,English,Salford,Vicar Apostolic of the Lancashire District
Roman Catholic Diocese of Limburg,German,Limburg an der Lahn,Roman Catholic Diocese of Mainz
Roman Catholic Diocese of Macerata-Tolentino-Recanati-Cingoli-Treia,Italian,Macerata,Diocese of Recanati
Roman Catholic Diocese of Argyll and the Isles,English,Oban,Diocese of Dunkeld
Roman Catholic Diocese of Clifton,English,Bristol,Apostolic Vicariate of the Western District
Roman Catholic Diocese of Hexham and Newcastle,English,Newcastle upon Tyne,Archdiocese of York
Roman Catholic Diocese of Montauban,French,Montauban,Roman Catholic Diocese of Cahors
