col0,col1,col2,col3
Cambridge University Press,Henry VIII of England,book publishing company,Cambridge
Yale University Press,George Parmly Day,book publishing company,New Haven
MIT Press,James Rhyne Killian,book publishing company,Cambridge
New York University Press,Elmer Ellsworth Brown,university press,New York City
New Issues Press,Herbert S. Scott,university press,Kalamazoo
Moody Publishers,Dwight Lyman Moody,university press,Chicago
Vita e pensiero,Ludovico Necchi,university press,Milan
Amsterdam University Press,University of Amsterdam,university press,Amsterdam
University Press of Kentucky,Thomas D. Clark,university press,Lexington
Presses Universitaires de Rennes,André Lespagnol,university press,Rennes
Harvard University Press,Harvard University,university press,Cambridge
Libera Università Internazionale degli Studi Sociali Guido Carli,Umberto Agnelli,university press,Rome
Cambridge University Press,Henry VIII of England,university press,Cambridge
Yale University Press,George Parmly Day,university press,New Haven
