col0,col1,col2,col3,col4,col5,col6,col7
Woorabinda Knowledge Centre,Woorabinda,Australia,"122 Carbine Street, Woorabinda, Queensland 4713",Queensland,public library,no,Rural Libraries Queensland Catalogue
Warraber Indigenous Knowledge Centre,Sue Islet,Australia,"Ganaia Street, Warraber Island, Queensland 4875",Queensland,public library,no,Rural Libraries Queensland Catalogue
Umagico Indigenous Knowledge Centre,Umagico,Australia,"8 Charlie Street, Umagico, Queensland 4876",Queensland,public library,no,Rural Libraries Queensland Catalogue
Seisia Indigenous Knowledge Centre,Seisia,Australia,"Tumema St, Seisia, Queensland 4876",Queensland,public library,no,Rural Libraries Queensland Catalogue
Ngalpun Ngulaygaw Lag,Coconut Island,Australia,"Main Street, Poruma Island, Queensland 4875",Queensland,public library,no,Rural Libraries Queensland Catalogue
Thaayorre-Munkan Library,Pormpuraaw,Australia,"Thaayorre-Munkan Library and Arts and Crafts Gallery, Pormpuraaw St, Pormpuraaw, Queensland 4892",Queensland,public library,no,Rural Libraries Queensland Catalogue
Bwgcolman Indigenous Knowledge Center,Palm Island,Australia,"Lot 1 Main St, Palm Island, Queensland 4816",Queensland,public library,no,Rural Libraries Queensland Catalogue
New Mapoon Indigenous Knowledge Centre,New Mapoon,Australia,"Brown St, New Mapoon, Queensland 4876",Queensland,public library,no,Rural Libraries Queensland Catalogue
Mary Ann Coconut Library,Weipa Town,Australia,"320 Wa-Tyne Street, Weipa, Queensland 4874",Queensland,public library,no,Rural Libraries Queensland Catalogue
Ngalpun Ngulaygaw Lag Resource Centre,Mabuiag Island,Australia,"Main Street, Mabuiag Island, Queensland 4875",Queensland,public library,no,Rural Libraries Queensland Catalogue
Lockhart River Indigenous Knowledge Centre,Lockhart River,Australia,"Poucheewoo Street, Lockhart River, Queensland 4892",Queensland,public library,no,Rural Libraries Queensland Catalogue
Kubin Indigenous Knowledge Centre,Moa Island,Australia,"Main Street, Kubin Village, Kubin, Queensland 4875",Queensland,public library,no,Rural Libraries Queensland Catalogue
Dawita Cultural Centre,Yam Island,Australia,"Church Road, Yam Island, Queensland 4875",Queensland,public library,no,Rural Libraries Queensland Catalogue
Jack Bambie Memorial Centre,Hope Vale,Australia,"5 Muni Street, Hope Vale, Queensland 4895",Queensland,public library,no,Rural Libraries Queensland Catalogue
