col0,col1,col2
Jagdgeschwader 144,1938-01-01,World War II
Jagdgeschwader 143,1938-01-01,World War II
Jagdgeschwader 142,1938-01-01,World War II
Jagdgeschwader 141,1938-01-01,World War II
Jagdgeschwader 138,1938-01-01,World War II
Jagdgeschwader 136,1936-01-01,World War II
Jagdgeschwader 135,1937-01-01,World War II
Jagdgeschwader 133,1938-01-01,World War II
Jagdgeschwader 132,1934-01-01,World War II
Jagdgeschwader 131,1937-01-01,World War II
Jagdgeschwader 130,1938-01-01,World War II
Les Fusiliers Mont-Royal,1869-01-01,World War II
6th Foreign Infantry Regiment,1939-01-01,World War II
6th Cavalry Regiment,1861-01-01,World War II
517th Parachute Infantry Regiment,1943-01-01,World War II
9th Deccan Horse,1790-01-01,World War I
9th Hussar Regiment,1792-09-02,World War I
8th Signal Regiment,1913-01-01,World War I
5th Overseas Interarms Regiment,1890-01-01,World War I
43rd Infantry Regiment,1638-03-13,World War I
