col0,col1,col2
Praac Racing,Italy,2002/01/01
Dllara,Italy,1972/01/01
DKR Engineerlng,Luxembourg,2004/01/01
Mad-Croc Rdcing,Belgium,2010/01/01
Racing Bart Mopaey,Belgium,1994/01/01
TeamAstromega,Belgium,1995/01/01
Kronos!Racing,Belgium,1994/12/01
Richard Petty Motorports,United States of America,2009/01/01
Roush Fenway acing,United States of America,1988/01/01
Vison Racing,United States of America,2005/01/01
Joe Gibbs Rccing,United States of America,1992/01/01
ewman/Haas Racing,United States of America,1983/01/01
Hoonigan Racig Division,United States of America,2010/01/01
HVM Racin,United States of America,1982/01/01
Forsythf/Pettit Racing,United States of America,1983/01/01
