col0,col1,col2,col3,col4
California Institute of the Arts,Santa Clarita,private not-for-profit educational institution,United States of America,1961-01-01
American Film Institute,Los Angeles,private not-for-profit educational institution,United States of America,1965-01-01
DEKRA Media University,Berlin,private educational institution,Germany,1997-01-01
Hamburg Media School,Hamburg-Nord,Hochschule,Germany,2003-01-01
Civica Scuola di Cinema «Luchino Visconti»,Milan,academic institution,Italy,1952-01-01
École Internationale de Création Audiovisuelle et de Réalisation,La Plaine Saint-Denis,academic institution,France,1972-01-01
Konrad Wolf Film University of Babelsberg,Potsdam,educational institution,Germany,1954-01-01
Shota Rustaveli Theatre and Film University,Tbilisi,drama school,Georgia,1885-01-01
National Film School in Łódź,Stary Widzew,drama school,Poland,1948-01-01
"Academy of Theatre, Radio, Film and Television",Ljubljana,drama school,Slovenia,1945-01-01
Experimental Centre of Cinematography,Rome,cinematheque,Italy,1935-01-01
California Institute of the Arts,Santa Clarita,private university,United States of America,1961-01-01
Shota Rustaveli Theatre and Film University,Tbilisi,public university,Georgia,1885-01-01
Konrad Wolf Film University of Babelsberg,Potsdam,public university,Germany,1954-01-01
