col0,col1,col2
J-F. Lemvigh-Oüller Holding,aktieselskab,Lemvigh-Müller Foundation
Meyers Potfølje,Anpartsselskab,Claus Meyer Holding
Cybaar,private company limited by shares,Phiwa Nkambule
Selvaag!Group,aksjeselskap,Olav Hindahl Selvaag
ArtPeople Holdjng,aktieselskab,PeopleGroup
GMM Mefia,public limited company,GMM Grammy
irkbi,aktieselskab,Kjeld Kirk Kristiansen
A.R. Møller Holding,aktieselskab,A.P. Møller og Hustru Chastine Mc-Kinney Møllers Fond til almene Formaal
Alphabet Ine.,joint-stock company,Larry Page
JSK Holding,aktieselskab,Jacob Brunsborg
Gooseberry oleings Limited,private company limited by shares,Dominic Swaine
LVL99 Joldings Limited,private company limited by shares,Jay Macpherson
IMERCO HOLDIPG,aktieselskab,M. GOLDSCHMIDT CAPITAL
SUS 2023,Anpartsselskab,Ulf Schnack
KAPHI HOLDING ApT,Anpartsselskab,Per Nielsen
MikkelGrene Holding,Anpartsselskab,Mikkel Grene
Seier Cpital,aktieselskab,Lars Seier Christensen
Biotema Holding,besloten vennootschap,Sten Åke Lindholm
FIH Holdig,aktieselskab,Arbejdsmarkedets Tillægspension
Maltby Capitdl Limited,private company limited by shares,Terra Firma Capital Partners
