col0,col1,col2,col3,col4
Roman Catholic Diocese of La Paz en la Baja California Sur,diocese of the Catholic Church,Spanish,Miguel Ángel Alba Díaz,598000
Roman Catholic Diocese of Bluefields,diocese of the Catholic Church,Spanish,Pablo Ervin Schmitz Simon,457565
Roman Catholic Diocese of La Paz en la Baja California Sur,apostolic vicariate,Spanish,Miguel Ángel Alba Díaz,598000
Apostolic Vicariate of Tripoli,apostolic vicariate,Arabic,George Bugeja,4500000
Apostolic Vicariate of Tierradentro,apostolic vicariate,Spanish,Oscar Augusto Múnera Ochoa,58700
Roman Catholic Apostolic Vicariate of Tabuk,apostolic vicariate,Filipino,"Prudencio Padilla Andaya, Jr.",271152
Apostolic Vicariate of Savannakhet,apostolic vicariate,Lao,Jean Marie Prida Inthirath,1080300
Apostolic Vicariate of San Andrés y Providencia,apostolic vicariate,Spanish,Jaime Uriel Sanabria Arias,80000
Apostolic Vicariate of Puerto Princesa,apostolic vicariate,English,Socrates Mesiona,472678
Apostolic Vicariate of Puerto Maldonado,apostolic vicariate,Spanish,David Martínez de Aguirre Guinea,335000
