col0,col1,col2,col3,col4,col5,col6,col7
Comarcal Council of Barcelonès,comarcal council of Catalonia,Spain,comarcal councillor of Barcelonès,1988-03-09,Barcelonès,president of Comarcal Council of Barcelonès,Barcelona
Comarcal Council of Alt Penedès,comarcal council of Catalonia,Spain,comarcal councillor of Alt Penedès,1988-03-09,Alt Penedès,president of Comarcal Council of Alt Penedès,Vilafranca del Penedès
Comarcal Council of Urgell,comarcal council of Catalonia,Spain,comarcal councillor of Urgell,1988-03-09,Urgell,president of Comarcal Council of Urgell,Tàrrega
Comarcal Council of Vallès Oriental,comarcal council of Catalonia,Spain,comarcal councillor of Vallès Oriental,1988-03-09,Vallès Oriental,president of Comarcal Council of Vallès Oriental,Granollers
Comarcal Council of Pla d'Urgell,comarcal council of Catalonia,Spain,comarcal councillor of Pla d'Urgell,1988-07-27,Pla d'Urgell,president of Comarcal Council of Pla d'Urgell,Mollerussa
Comarcal Council of Cerdanya,comarcal council of Catalonia,Spain,comarcal councillor of Cerdanya,1988-03-09,Cerdanya,president of Comarcal Council of Cerdanya,Puigcerdà
Comarcal Council of Ripollès,comarcal council of Catalonia,Spain,comarcal councillor of Ripollès,1988-03-09,Ripollès,president of Comarcal Council of Ripollès,Ripoll
Comarcal Council of Alt Empordà,comarcal council of Catalonia,Spain,comarcal councillor of Alt Empordà,1988-03-09,Alt Empordà,president of Comarcal Council of Alt Empordà,Figueres
Comarcal Council of Garrotxa,comarcal council of Catalonia,Spain,comarcal councillor of Garrotxa,1988-03-09,Garrotxa,president of Comarcal Council of Garrotxa,Olot
Comarcal Council of La Selva,comarcal council of Catalonia,Spain,comarcal councillor of Selva,1988-03-09,Selva,president of Comarcal Council of La Selva,Santa Coloma de Farners
Comarcal Council of Pla de l'Estany,comarcal council of Catalonia,Spain,comarcal councillor of Pla de l'Estany,1988-07-27,Pla de l’Estany,president of Comarcal Council of Pla de l'Estany,Banyoles
Comarcal Council of Vallès Occidental,comarcal council of Catalonia,Spain,comarcal councillor of Vallès Occidental,1988-03-09,Vallès Occidental,president of Comarcal Council of Vallès Occidental,Terrassa
Comarcal Council of Anoia,comarcal council of Catalonia,Spain,comarcal councillor of Anoia,1988-03-09,Anoia,president of Comarcal Council of Anoia,Igualada
Comarcal Council of Montsià,comarcal council of Catalonia,Spain,comarcal councillor of Montsià,1988-03-09,Montsià,president of Comarcal Council of Montsià,Amposta
