col0,col1,col2,col3
San Marcos Viansi Orbea,Mexico,cycling team,2015-01-01
Lotería de Boyacá,Colombia,cycling team,1975-01-01
Néctar-Gob. de Cundinamarca,Colombia,cycling team,1999-01-01
POL–Aqua,Poland,cycling team,2008-01-01
Bourgogne–Pro Dialog,France,cycling team,2008-01-01
Team MTN–Qhubeka,South Africa,cycling team,2008-01-01
Team Lot-et-Garonne,France,cycling team,2008-01-01
Team Cmax Dila,Spain,cycling team,2008-01-01
Primus,Poland,cycling team,2008-01-01
EMI,Italy,cycling team,1959-01-01
Hangar 15 Bicycles,United States of America,cycling team,1994-01-01
Voster ATS Team,Poland,UCI Continental Team,2016-01-01
