col0,col1,col2,col3,col4
Rally Cycling 2018,Eric Wohlberg,Rally Cycling,Brad Huff,Rally Cycling
Fortuneo-Oscaro 2017,Sébastien Hinault,Arkéa-Samsic,Kenny Molly,Fortuneo-Vital Concept
Bora-Argon 18 2016,Steffen Radochla,Bora-Hansgrohe,Gregor Mühlberger,Bora-Argon 18
Drapac 2016,Tom Southam,Drapac-EF Cannondale Holistic Development,Jordan Kerby,Drapac
Bora-Argon 18 2016,Steffen Radochla,Bora-Hansgrohe,Patrick Konrad,Bora-Argon 18
Drapac 2016,Tom Southam,Drapac-EF Cannondale Holistic Development,Thomas Scully,Drapac
Bora-Argon 18 2016,Steffen Radochla,Bora-Hansgrohe,Michael Schwarzmann,Bora-Argon 18
Drapac 2016,Tom Southam,Drapac-EF Cannondale Holistic Development,Lachlan Norris,Drapac
Bora-Argon 18 2016,Steffen Radochla,Bora-Hansgrohe,Scott Thwaites,Bora-Argon 18
Drapac 2016,Tom Southam,Drapac-EF Cannondale Holistic Development,Nathan Earle,Drapac
Bora-Argon 18 2016,Steffen Radochla,Bora-Hansgrohe,José Mendes,Bora-Argon 18
Drapac 2016,Tom Southam,Drapac-EF Cannondale Holistic Development,Travis Meyer,Drapac
Bora-Argon 18 2016,Steffen Radochla,Bora-Hansgrohe,Cesare Benedetti,Bora-Argon 18
Drapac 2016,Tom Southam,Drapac-EF Cannondale Holistic Development,Adam Phelan,Drapac
