col0,col1,col2,col3,col4,col5,col6
2007 European Athletics Junior Championships,2007-01-01,2007-07-22,2007-07-19,European Athletic Association,athletics,2005 European Athletics Junior Championships
2009 European Athletics Junior Championships,2009-01-01,2009-07-26,2009-07-23,European Athletic Association,athletics,2007 European Athletics Junior Championships
1979 European Athletics Junior Championships,1979-01-01,1979-08-19,1979-08-16,European Athletic Association,athletics,1977 European Athletics Junior Championships
2019 European Athletics U20 Championships,2019-01-01,2019-07-21,2019-07-18,European Athletic Association,athletics,2017 European Athletics U20 Championships
2017 European Athletics U20 Championships,2017-01-01,2017-07-23,2017-07-20,European Athletic Association,athletics,2015 European Athletics Junior Championships
2005 European Athletics Junior Championships,2005-01-01,2005-07-24,2005-07-21,European Athletic Association,athletics,2003 European Athletics Junior Championships
2003 European Athletics Junior Championships,2003-01-01,2003-07-27,2003-07-24,European Athletic Association,athletics,2001 European Athletics Junior Championships
1995 European Athletics Junior Championships,1995-01-01,1995-07-30,1995-07-27,European Athletic Association,athletics,1993 European Athletics Junior Championships
1983 European Athletics Junior Championships,1983-01-01,1983-08-28,1983-08-25,European Athletic Association,athletics,1981 European Athletics Junior Championships
1981 European Athletics Junior Championships,1981-01-01,1981-08-23,1981-08-20,European Athletic Association,athletics,1979 European Athletics Junior Championships
