col0,col1,col2,col3,col4,col5,col6
Russia at the 2018 FIFA World Cup,Stanislav Cherchesov,Russia 5-0 Saudi Arabia,Russia 5-0 Saudi Arabia,5,2018-01-01,Russia
Mexico at the 2018 FIFA World Cup,Juan Carlos Osorio,South Korea 1-2 Mexico,South Korea 1-2 Mexico,4,2018-01-01,Mexico
Belgium at the 2018 FIFA World Cup,Roberto Martínez,Brazil 1-2 Belgium,Brazil 1-2 Belgium,7,2018-01-01,Belgium
Spain at the 2018 FIFA World Cup,Julen Lopetegui,Iran 0-1 Spain,Iran 0-1 Spain,4,2018-01-01,Spain
England at the 2018 FIFA World Cup,Gareth Southgate,Tunisia 1-2 England,Tunisia 1-2 England,7,2018-01-01,England
Germany at the 2018 FIFA World Cup,Joachim Löw,Germany 2-1 Sweden,South Korea 2-0 Germany,3,2018-01-01,Germany
Russia at the 2018 FIFA World Cup,Stanislav Cherchesov,Russia 5-0 Saudi Arabia,Russia 5-6 Croatia,5,2018-01-01,Russia
Mexico at the 2018 FIFA World Cup,Juan Carlos Osorio,South Korea 1-2 Mexico,Brazil 2-0 Mexico,4,2018-01-01,Mexico
Belgium at the 2018 FIFA World Cup,Roberto Martínez,Brazil 1-2 Belgium,France 1-0 Belgium,7,2018-01-01,Belgium
Spain at the 2018 FIFA World Cup,Julen Lopetegui,Iran 0-1 Spain,Portugal 3-3 Spain,4,2018-01-01,Spain
England at the 2018 FIFA World Cup,Gareth Southgate,Tunisia 1-2 England,2018 FIFA World Cup third place playoff,7,2018-01-01,England
Senegal at the 2018 FIFA World Cup,Aliou Cissé,Poland 1-2 Senegal,Poland 1-2 Senegal,3,2018-01-01,Senegal
South Korea at the 2018 FIFA World Cup,Shin Tae-yong,South Korea 2-0 Germany,South Korea 2-0 Germany,3,2018-01-01,South Korea
Saudi Arabia at the 2018 FIFA World Cup,Juan Antonio Pizzi,Saudi Arabia 2-1 Egypt,Saudi Arabia 2-1 Egypt,3,2018-01-01,Saudi Arabia
Serbia at the 2018 FIFA World Cup,Mladen Krstajić,Costa Rica 0-1 Serbia,Costa Rica 0-1 Serbia,3,2018-01-01,Serbia
