col0,col1,col2,col3
Coldplay,PureVolume,1996-01-01,alternative rock
Silverchair,PureVolume,1992-01-01,grunge
Eläkeläiset,YouTube,1993-01-01,humppa
Lords of Acid,YouTube,1988-01-01,industrial music
Exodus,YouTube,1979-01-01,thrash metal
Puddle of Mudd,YouTube,1993-01-01,post-grunge
Kittie,YouTube,1996-01-01,nu metal
Limp Bizkit,YouTube,1994-01-01,nu metal
Vengaboys,YouTube,1997-01-01,Eurodance
Captain Jack,YouTube,1995-01-01,Eurodance
Powerman 5000,YouTube,1991-01-01,industrial metal
Clawfinger,YouTube,1989-01-01,industrial metal
Télépopmusik,YouTube,1998-01-01,trip hop
Machine Head,YouTube,1991-01-01,metalcore
Midnattsol,YouTube,2003-01-01,gothic metal
We Are the Fallen,YouTube,2009-01-01,gothic metal
Xandria,YouTube,1997-01-01,gothic metal
Leaves' Eyes,YouTube,2003-01-01,gothic metal
Helheim,YouTube,1992-01-01,black metal
Dream Theater,YouTube,1985-01-01,progressive rock
