col0,col1,col2,col3,col4,col5
Ma'ale Gamla,441,1975-01-01,110,Israeli-occupied territories,Golan Regional Council
Odem,131,1975-01-01,1050,Israeli-occupied territories,Golan Regional Council
Sde Ilan,541,1949-01-01,192,Israel,Lower Galilee Regional Council
Mitzpa,144,1908-01-01,76,Israel,Lower Galilee Regional Council
Hemed,1131,1950-01-01,28,Israel,Lod Valley Regional Council
Hatzeva,566,1965-01-01,-157,Israel,Central Arava Regional Council
Ein Yahav,665,1951-01-01,-88,Israel,Central Arava Regional Council
Ben Zakai,1083,1950-01-01,29,Israel,Hevel Yavne Regional Council
Sde Warburg,1483,1938-01-01,51,Israel,Drom HaSharon Regional Council
Zrahia,693,1950-01-01,72,Israel,Shafir Regional Council
Eitan,449,1955-01-01,156,Israel,Shafir Regional Council
Revaha,525,1953-01-01,85,Israel,Shafir Regional Council
Shalva,430,1952-01-01,170,Israel,Shafir Regional Council
