col0,col1,col2,col3,col4
Maspalomas FS,Spain,Segunda División de Futsal,futsal,Maspalomas
Shonan Bellmare futsal,Japan,F. League,futsal,Hiratsuka
MFC Tulpar,Kazakhstan,Kazakhstani Futsal Championship,futsal,Karaganda
Tokyo Fuchu Athletic F.C.,Japan,F. League,futsal,Fuchū
Vasagey Oita,Japan,F. League,futsal,Ōita
Gazprom-Ugra Yugorsk,Russia,Russian Futsal Super League,futsal,Yugorsk
FS Móstoles,Spain,Segunda División B de Futsal,futsal,Móstoles
City'us Târgu Mureş,Romania,Liga I,futsal,Târgu Mureș
Futsal Hasselt,Belgium,Belgian Division 1,association football,Hasselt
Deução Kobe,Japan,F. League,futsal,Kōbe
Shriker Osaka,Japan,F. League,futsal,Ōsaka
Espolada Hokkaido,Japan,F. League,futsal,Hokkaidō
Vegakameratene,Norway,NFF Futsal Eliteserie,futsal,Trondheim
FS Zamora,Spain,Segunda División B de Futsal,futsal,Zamora
