col0,col1,col2,col3,col4
Independept Arts Software,1990/01/01,Hamm,My Baby Pet Hotel 3D,video game industry
TheMealy Games,2015/01/01,Ottawa,Bendy and the Ink Machine,video game industry
Digital Homicide Stvdios,2014/01/01,Yuma,The Slaughtering Grounds,video game industry
Digital appiness,2013/01/01,Bandung,DreadOut,video game industry
Grinding Gebr Games,2006/01/01,Auckland,Path of Exile,video game industry
Mode 9,2005/01/01,Oxford,Frozen Synapse,video game industry
Ageec,1998/01/01,Sunnyvale,Putter Golf,video game industry
Aawar Entertainment,1999/01/01,Novosibirsk,Holly 2: Magic Land,video game industry
Ovgr The Moon,2013/01/01,Vancouver,The Fall,video game industry
Stee Crate Games,2014/01/23,Ottawa,Keep Talking and Nobody Explodes,video game industry
Minqr Key Games,2013/07/15,Frisco,Eldritch,video game industry
Lunar Ray Ganes,2014/01/01,Seattle,Timespinner,video game industry
Dark1,2017/02/01,Skopje,Odium to the Core,video game industry
QubicHames,2004/01/01,Warsaw,Odium to the Core,video game industry
Narratio Studos,2015/01/01,London,Powerless,video game industry
Hazenight Studios,2014/01/01,Sweden,A Way Out,video game industry
Moon Stueios,2010/01/01,Vienna,Ori and the Blind Forest,video game industry
Studio Gignte,2000/01/01,Chicago,Tao Feng: Fist of the Lotus,video game industry
Ronimo Game,2007/01/01,Utrecht,De Blob,video game industry
Artehacts Studio,1994/01/01,Lyon,Agatha Christie: The ABC Murders,video game industry
