col0,col1,col2,col3,col4,col5,col6
Uruguay at the 2018 FIFA World Cup,Óscar Tabárez,Egypt 0-1 Uruguay,Uruguay 0-2 France,5,2018-01-01,Uruguay
Switzerland at the 2018 FIFA World Cup,Vladimir Petković,Serbia 1– 2 Switzerland,Serbia 1– 2 Switzerland,4,2018-01-01,Switzerland
Japan at the 2018 FIFA World Cup,Akira Nishino,Colombia 1-2 Japan,Colombia 1-2 Japan,4,2018-01-01,Japan
Nigeria at the 2018 FIFA World Cup,Gernot Rohr,Nigeria 2-0 Iceland,Croatia 2-0 Nigeria,3,2018-01-01,Nigeria
Iran at the 2018 FIFA World Cup,Carlos Queiroz,Morocco 0-1 Iran,Iran 1-1 Portugal,3,2018-01-01,Iran
Colombia at the 2018 FIFA World Cup,José Pekerman,Senegal 0-1 Colombia,Colombia 4-5 England,4,2018-01-01,Colombia
Argentina at the 2018 FIFA World Cup,Jorge Sampaoli,Nigeria 1-2 Argentina,Argentina 1-1 Iceland,4,2018-01-01,Argentina
Brazil at the 2018 FIFA World Cup,Tite,Brazil 2-0 Mexico,Brazil 1-2 Belgium,5,2018-01-01,Brazil
France at the 2018 FIFA World Cup,Didier Deschamps,France 4-3 Argentina,Denmark 0-0 France,7,2018-01-01,France
Switzerland at the 2018 FIFA World Cup,Vladimir Petković,Serbia 1– 2 Switzerland,Switzerland 2-2 Costa Rica,4,2018-01-01,Switzerland
Japan at the 2018 FIFA World Cup,Akira Nishino,Colombia 1-2 Japan,Japan 2-2 Senegal,4,2018-01-01,Japan
Colombia at the 2018 FIFA World Cup,José Pekerman,Poland 0-3 Colombia,Poland 0-3 Colombia,4,2018-01-01,Colombia
Germany at the 2018 FIFA World Cup,Joachim Löw,Germany 2-1 Sweden,Germany 2-1 Sweden,3,2018-01-01,Germany
