col0,col1,col2
2017 Centre mondial du cyclisme season,World Cycling Centre,Centre mondial du cyclisme 2016
Vendée U 2017,Vendée U,Vendée U 2016
VC Pays de Loudéac 2017,VC Pays de Loudéac,VC Pays de Loudéac 2016
BMC Development 2017,BMC Development,BMC Development 2016
VC Rouen 76 2017,VC Rouen 76,VC Rouen 76 2016
CC Nogent-sur-Oise 2017,CC Nogent-sur-Oise,CC Nogent-sur-Oise 2016
Lotto-Soudal U23 2017,Lotto-Soudal U23,Lotto-Soudal U23 2016
Orgullo Antioqueño 2017,Orgullo Antioqueño,Orgullo Antioqueño 2016
Colpack 2017,Colpack,Colpack 2016
CC Villeneuve Saint-Germain 2016,CC Villeneuve Saint-Germain,CC Villeneuve Saint-Germain 2015
AVC Aix-en-Provence 2016,AVC Aix-en-Provence,AVC Aix-en-Provence 2015
CC Villeneuve Saint-Germain 2017,CC Villeneuve Saint-Germain,CC Villeneuve Saint-Germain 2016
Vendée U 2015,Vendée U,Vendée U 2014
