col0,col1,col2
Vilnius University's Institute of Biochemistry,Vilnius University's Life Sciences Centre,Vilnius District Municipality
ORT Mexico,World ORT,Mexico City
SWPS University Faculty of Law,SWPS University of Social Sciences and Humanities,Warsaw
"Monterrey Institute of Technology and Higher Education, Northern Sonora",Monterrey Institute of Technology and Higher Education,Hermosillo
"Monterrey Institute of Technology and Higher Education, Saltillo",Monterrey Institute of Technology and Higher Education,Saltillo
Notre Dame College of Science,University of Notre Dame,South Bend
University of Arkansas College of Education & Health Professions,University of Arkansas,Fayetteville
University of Central Florida College of Undergraduate Studies,University of Central Florida,Orlando
Department of Geodesy GUT,Gdańsk University of Technology,Gdańsk
Institute for history and theory of architecture,ETH Zurich,Zürich
