col0,col1,col2,col3,col4
Axbergs IF,association football club,Sweden,1932-03-01,Axberg
Gjelleråsen IF,association football club,Norway,1935-03-06,Nittedal
SK Freidig,association football club,Norway,1903-01-01,Trondheim
Gävle Godtemplares IK,association football club,Sweden,1906-01-01,Gävle
Vålerengens IF,association football club,Norway,1913-01-01,Oslo
Eimsbütteler TV,association football club,Germany,1889-01-01,Eimsbüttel
IBF NB 87,floorball club,Sweden,1987-01-01,Karlstad Municipality
Uppsala City IBK,floorball club,Sweden,1986-01-01,Uppsala Municipality
Sjöstads IF,floorball club,Sweden,1977-01-01,Karlstad Municipality
Carlskrona IF,floorball club,Sweden,1988-01-01,Karlskrona Municipality
Olofströms IBK,floorball club,Sweden,1986-01-01,Olofström Municipality
TB Uphusen,floorball club,Germany,1912-01-01,Achim
