col0,col1,col2,col3,col4
1843 Naval Air Squadron,Royal Navy,United Kingdom,1944-05-01,World War II
1842 Naval Air Squadron,Royal Navy,United Kingdom,1944-01-01,World War II
1841 Naval Air Squadron,Royal Navy,United Kingdom,1944-01-01,World War II
1840 Naval Air Squadron,Royal Navy,United Kingdom,1944-01-01,World War II
1839 Naval Air Squadron,Royal Navy,United Kingdom,1943-01-01,World War II
1838 Naval Air Squadron,Royal Navy,United Kingdom,1943-01-01,World War II
1837 Naval Air Squadron,Royal Navy,United Kingdom,1943-01-01,World War II
1836 Naval Air Squadron,Royal Navy,United Kingdom,1943-01-01,World War II
1835 Naval Air Squadron,Royal Navy,United Kingdom,1943-01-01,World War II
1834 Naval Air Squadron,Royal Navy,United Kingdom,1943-01-01,World War II
1833 Naval Air Squadron,Royal Navy,United Kingdom,1943-01-01,World War II
Fighter Squadron 33,Finnish Air Force,Finland,1944-12-01,Lapland War
Squadron 34,Finnish Air Force,Finland,1943-01-23,Continuation War
Squadron 30,Finnish Air Force,Finland,1940-03-01,Continuation War
