col0,col1,col2,col3,col4
Basel Historical Museum – Musikmuseum,class A Swiss cultural property of national significance,2000-11-22,2000-11-22,music museum
State Historical Museum,cultural heritage site in Russia,1872-01-01,1872-01-01,national museum
National Museum Zurich,class A Swiss cultural property of national significance,1898-01-01,1898-01-01,national museum
Euskal Museoa,Bien de Interés Cultural,1921-01-01,1921-01-01,history museum
Basel Historical Museum – Musikmuseum,class A Swiss cultural property of national significance,2000-11-22,2000-11-22,history museum
Museum of Communication Frankfurt,Kulturdenkmal,1958-01-31,1955-01-01,history museum
Historical Museum of the Palatinate,Kulturdenkmal,1910-01-01,1910-01-01,history museum
State Historical Museum,cultural heritage site in Russia,1872-01-01,1872-01-01,history museum
Museum of the Swiss Charters of Confederation,class A Swiss cultural property of national significance,1936-01-01,1936-01-01,history museum
National Museum Zurich,class A Swiss cultural property of national significance,1898-01-01,1898-01-01,history museum
