col0,col1,col2,col3,col4
NU'EST,Pledis Entertainment,South Korea,Aron,2012-01-01
100%,TOP Media,South Korea,Seo Min-woo,2012-01-01
Teen Top,TOP Media,South Korea,C.A.P.,2010-01-01
Cross Gene,Universal Music Japan,South Korea,Takuya Terada,2012-01-01
U-KISS,Avex Trax,South Korea,Alexander Lee Eusebio,2008-01-01
g.o.d.,JYP Entertainment,South Korea,Kim Tae Woo,1999-01-01
2PM,JYP Entertainment,United Kingdom,Jay Park,2008-01-01
Highlight,Around US Entertainment,South Korea,Yang Yo-seob,2009-01-01
Boyzone,Warner Music Group,Ireland,Stephen Gately,1993-01-01
Big Bang,YG Entertainment,South Korea,Daesung,2006-01-01
Shinhwa,SM Entertainment,South Korea,Lee Min-woo,1998-01-01
